timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775579918235,264,GET /api/load/storage-locations,200,,Lasttest 1-18,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,263,0,0
1775579918235,265,GET /api/load/kommissionen,200,,Lasttest 1-16,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,264,0,0
1775579918302,220,GET /api/load/kommissionen,200,,Lasttest 1-5,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,218,0,0
1775579918470,64,GET /api/load/goods-receipts,200,,Lasttest 1-3,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,64,0,0
1775579918271,265,GET /api/load/storage-locations,200,,Lasttest 1-66,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,263,0,0
1775579918302,235,GET /api/load/storage-locations,200,,Lasttest 1-53,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,234,0,0
1775579918470,67,GET /api/load/goods-receipts,200,,Lasttest 1-34,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,66,0,0
1775579918472,72,GET /api/load/storage-locations,200,,Lasttest 1-63,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,72,0,0
1775579918272,280,GET /api/load/articles,200,,Lasttest 1-2,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,279,0,0
1775579918272,280,GET /api/load/articles,200,,Lasttest 1-78,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,278,0,0
1775579918305,251,GET /api/load/storage-locations,200,,Lasttest 1-61,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,245,0,0
1775579918470,95,GET /api/load/articles,200,,Lasttest 1-99,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,95,0,0
1775579918320,250,GET /api/load/storage-locations,200,,Lasttest 1-10,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,249,0,0
